Time, Voltage
32.7664,0.1722
32.7671,0.1772
32.7678,0.1772
32.7686,0.1772
32.7693,0.1772
32.7700,0.1722
32.7708,0.1772
32.7715,0.1823
32.7722,0.1823
32.7730,0.1772
32.7737,0.1772
32.7744,0.1772
32.7752,0.1772
32.7759,0.1772
32.7766,0.1772
32.7774,0.1772
32.7781,0.1823
32.7788,0.1772
32.7796,0.1772
32.7803,0.1772
32.7810,0.1772
32.7817,0.1772
32.7825,0.1772
32.7832,0.1772
32.7839,0.1772
32.7847,0.1772
32.7854,0.1772
32.7861,0.1772
32.7869,0.1772
32.7876,0.1722
32.7883,0.1772
32.7891,0.1722
32.7898,0.1772
32.7905,0.1772
32.7913,0.1772
32.7920,0.1772
32.7927,0.1772
32.7935,0.1772
32.7942,0.1722
32.7949,0.1772
32.7957,0.1722
32.7964,0.1772
32.7971,0.1722
32.7979,0.1823
32.7986,0.1772
32.7993,0.1772
32.8000,0.1722
32.8008,0.1722
32.8015,0.1772
32.8022,0.1722
32.8030,0.1722
32.8037,0.1772
32.8044,0.1772
32.8052,0.1772
32.8059,0.1772
32.8066,0.1722
32.8074,0.1772
32.8081,0.1772
32.8088,0.1772
32.8096,0.1722
32.8103,0.1772
32.8110,0.1722
32.8118,0.1722
32.8125,0.1722
32.8132,0.1722
32.8140,0.1722
32.8147,0.1722
32.8154,0.1772
32.8162,0.1772
32.8169,0.1772
32.8176,0.1722
32.8184,0.1722
32.8191,0.1722
32.8198,0.1722
32.8206,0.1772
32.8213,0.1772
32.8220,0.1722
32.8228,0.1772
32.8235,0.1772
32.8242,0.1722
32.8250,0.1722
32.8257,0.1722
32.8265,0.1772
32.8272,0.1722
32.8279,0.1772
32.8287,0.1772
32.8294,0.1772
32.8301,0.1772
32.8309,0.1722
32.8316,0.1772
32.8323,0.1772
32.8330,0.1722
32.8338,0.1772
32.8345,0.1772
32.8352,0.1772
32.8360,0.1772
32.8367,0.1722
32.8374,0.1722
32.8382,0.1823
32.8389,0.1772
32.8396,0.1772
32.8404,0.1722
32.8411,0.1772
32.8418,0.1722
32.8426,0.1823
32.8433,0.1772
32.8440,0.1772
32.8448,0.1722
32.8455,0.1823
32.8462,0.1722
32.8470,0.1772
32.8477,0.1722
32.8484,0.1772
32.8491,0.1772
32.8499,0.1772
32.8506,0.1772
32.8513,0.1772
32.8521,0.1772
32.8528,0.1772
32.8535,0.1772
32.8543,0.1722
32.8550,0.1772
32.8557,0.1772
32.8565,0.1823
32.8572,0.1772
32.8579,0.1772
32.8587,0.1772
32.8594,0.1772
32.8601,0.1722
32.8609,0.1772
32.8616,0.1772
32.8623,0.1823
32.8631,0.1772
32.8638,0.1772
32.8645,0.1772
32.8652,0.1772
32.8660,0.1772
32.8667,0.1722
32.8675,0.1722
32.8682,0.1722
32.8689,0.1823
32.8696,0.1772
32.8704,0.1722
32.8711,0.1722
32.8718,0.1772
32.8726,0.1772
32.8733,0.1772
32.8740,0.1772
32.8748,0.1772
32.8755,0.1772
32.8762,0.1722
32.8770,0.1772
32.8777,0.1722
32.8784,0.1772
32.8792,0.1772
32.8799,0.1722
32.8806,0.1772
32.8814,0.1772
32.8821,0.1772
32.8828,0.1772
32.8836,0.1823
32.8843,0.1823
32.8850,0.1772
32.8860,0.1772
32.8867,0.1772
32.8875,0.1772
32.8882,0.1772
32.8889,0.1722
32.8897,0.1772
32.8904,0.1772
32.8911,0.1772
32.8922,0.1772
32.8930,0.1823
32.8937,0.1823
32.8945,0.1772
32.8952,0.1772
32.8959,0.1772
32.8966,0.1772
32.8974,0.1772
32.8981,0.1772
32.8988,0.1722
32.8995,0.1772
32.9003,0.1823
32.9010,0.1772
32.9017,0.1772
32.9024,0.1772
32.9032,0.1772
32.9039,0.1772
32.9046,0.1772
32.9053,0.1772
32.9061,0.1772
32.9068,0.1772
32.9075,0.1772
32.9082,0.1772
32.9090,0.1722
32.9097,0.1823
32.9104,0.1772
32.9111,0.1722
32.9119,0.1722
32.9126,0.1772
32.9133,0.1772
32.9141,0.1722
32.9148,0.1772
32.9155,0.1772
32.9162,0.1772
32.9170,0.1722
32.9177,0.1772
32.9184,0.1772
32.9192,0.1772
32.9199,0.1772
32.9206,0.1772
32.9214,0.1772
32.9221,0.1772
32.9228,0.1772
32.9235,0.1772
32.9243,0.1823
32.9250,0.1823
32.9257,0.1772
32.9265,0.1772
32.9272,0.1772
32.9279,0.1823
32.9287,0.1772
32.9294,0.1772
32.9301,0.1772
32.9309,0.1823
32.9316,0.1772
32.9323,0.1772
32.9331,0.1772
32.9338,0.1772
32.9345,0.1823
32.9353,0.1772
32.9360,0.1772
32.9367,0.1823
32.9375,0.1772
32.9382,0.1823
32.9389,0.1823
32.9396,0.1823
32.9404,0.1772
32.9411,0.1772
32.9418,0.1722
32.9426,0.1772
32.9433,0.1823
32.9440,0.1823
32.9448,0.1772
32.9455,0.1772
32.9462,0.1772
32.9470,0.1772
32.9477,0.1772
32.9484,0.1772
32.9492,0.1772
32.9499,0.1722
32.9506,0.1772
32.9514,0.1772
32.9521,0.1772
32.9528,0.1772
32.9535,0.1722
32.9543,0.1772
32.9550,0.1823
32.9557,0.1772
32.9565,0.1772
32.9572,0.1772
32.9579,0.1772
32.9587,0.1823
32.9594,0.1772
32.9603,0.1772
32.9624,0.1823
32.9632,0.1772
32.9640,0.1772
32.9648,0.1823
32.9668,0.1823
32.9676,0.1772
32.9683,0.1772
32.9691,0.1772
32.9698,0.1772
32.9705,0.1772
32.9713,0.1772
32.9720,0.1772
32.9728,0.1772
32.9735,0.1772
32.9742,0.1772
32.9750,0.1722
32.9757,0.1772
32.9764,0.1722
32.9772,0.1772
32.9779,0.1772
32.9786,0.1823
32.9797,0.1722
32.9804,0.1772
32.9812,0.1772
32.9819,0.1772
32.9826,0.1772
32.9834,0.1772
32.9841,0.1772
32.9848,0.1823
32.9856,0.1772
32.9863,0.1823
32.9871,0.1772
32.9878,0.1772
32.9885,0.1772
32.9893,0.1823
32.9900,0.1772
32.9907,0.1823
32.9915,0.1772
32.9922,0.1772
32.9929,0.1772
32.9937,0.1772
32.9944,0.1772
32.9954,0.1772
32.9962,0.1722
